Current Satellite Time,q_1 of Estimated Quaternion,q_2 of Estimated Quaternion,q_3 of Estimated Quaternion,q_4 of Estimated Quaternion,X axis of Estimated Body Rate,Y axis of Estimated Body Rate,Z axis of Estimated Body Rate,X axis of Estimated Position,Y axis of Estimated Position,Z axis of Estimated Position,X axis of Estimated Velocity,Y axis of Estimated Velocity,Z axis of Estimated Velocity
2022-08-03 5:41,0.804140479,-0.159206827,0.177441003,-0.544541978,-0.000585498,-0.103970796,-0.027789047,-669.2681,-6806.20752,1164.32678,7.54992628,-0.6868203,0.322273165
2022-08-03 5:41,0.809485478,-0.140726862,0.160891777,-0.546848285,-0.002100486,-0.087216504,-0.020927869,-442.4509,-6823.148,1173.36523,7.56985664,-0.442446679,0.2802409
2022-08-03 5:42,0.813994152,-0.124733145,0.145982808,-0.5482191,-0.003310519,-0.08003794,-0.019520288,-215.157654,-6832.74951,1181.13806,7.581645,-0.197597444,0.237906352
2022-08-03 5:42,0.817944392,-0.109819837,0.131744511,-0.549135646,-0.004403591,-0.07712821,-0.018208968,12.3668528,-6835.00146,1187.63708,7.585279,0.047463182,0.195315436
2022-08-03 5:43,0.821691258,-0.094410004,0.117437037,-0.549653318,-0.004868839,-0.074561276,-0.016201884,239.877914,-6829.902,1192.8551,7.58075428,0.292471081,0.152514115
2022-08-03 5:43,0.82488908,-0.080064955,0.103606828,-0.549921116,-0.003951322,-0.075530715,-0.016646534,467.130737,-6817.456,1196.78638,7.56807661,0.537162066,0.1095485
2022-08-03 5:44,0.827794454,-0.065397867,0.089563692,-0.54996164,-0.003865994,-0.0768545,-0.018422376,693.881165,-6797.67773,1199.42676,7.54725933,0.781272948,0.066465154
2022-08-03 5:44,0.83038399,-0.050439665,0.075291459,-0.549772194,-0.004909801,-0.07801088,-0.019031974,919.8851,-6770.58838,1200.77332,7.518325,1.02454031,0.023310598
2022-08-03 5:45,0.832625071,-0.035188465,0.060797414,-0.54936412,-0.004814185,-0.07903291,-0.018191699,1144.89966,-6736.217,1200.82483,7.4813056,1.26670229,-0.019868389
2022-08-03 5:45,0.834501943,-0.019617359,0.046095358,-0.548722957,-0.004848905,-0.08042609,-0.0187368,1368.68274,-6694.6,1199.58118,7.43624067,1.50749826,-0.063025236
2022-08-03 5:46,0.835983938,-0.003751772,0.031185017,-0.547854245,-0.003831347,-0.08149383,-0.019213228,1590.99377,-6645.783,1197.04382,7.38317966,1.7466687,-0.106113128
2022-08-03 5:46,0.837062874,0.012426599,0.016082386,-0.546729074,-0.003455256,-0.082881525,-0.020910703,1811.59375,-6589.819,1193.21545,7.32217932,1.9839561,-0.149085611
2022-08-03 5:47,0.837709241,0.028855046,0.000772396,-0.545353111,-0.003387776,-0.0837658,-0.020151567,2030.24548,-6526.76758,1188.10022,7.253306,2.219105,-0.19189626
2022-08-03 5:47,0.837897044,0.045569859,-0.014715517,-0.543723629,-0.00332442,-0.08506313,-0.020705728,2246.71387,-6456.697,1181.70374,7.176634,2.45186234,-0.2344988
2022-08-03 5:48,0.837609809,0.062537727,-0.030375128,-0.541826717,-0.003977381,-0.08616479,-0.021394922,2460.766,-6379.68262,1174.033,7.092246,2.681977,-0.276847243
